# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 3873620     
# File Date: 06/01/2026 18:32:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS	Strong's number with extensions
#	WORD	Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#	STRONGU	Unified Strong's entry and explanation
#	DEF		Definition, lexical entry.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
2478		ἰσχυρός	ischuros	strong	G:A	<b>ἰσχυρός</b>, -ά, -όν (ἰσχύω), [in LXX for אֵל, גִּבּוֹר, עָצוּם, חָזַק, etc;] <b>strong, mighty, powerful</b>; (a) <b>of persons, as to body or spirit</b>: Mat.12:29, Mrk.3:27, Luk.11:21-22, 1Co.4:10 (opposite to ἀσθενής), Heb.11:34 (ἐν πολέμῳ), Rev.5:2 10:1 18:21 19:18; οἱ πλούσιοι κ. οἱ ἰ, Rev.6:15; τὰ ἰ. = oἱ ἰ. (cf. 4Ki.24:15), 1Co.1:27; of God (cf. Deu.10:17), Rev.18:8; compar, Mat.3:11, Mrk.1:7, Luk.11:22, 1Co.1:25 (τὸ ἀσθενὲς τ. θεοῦ) 1Co.10:22; (b) <b>of things</b>: λιμός, Luk.15:14; ἐπιστολαί (βαρεῖαι κ. ἰ.), 2Co.10:10; κραυγή, Heb.5:7; φωνή, Rev.18:2; παράκλησις, Heb.6:18; πόλις, Rev.18:10; βρονταί, Rev.19:6. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2479		ἰσχύς	ischus	strength	G:N-F	<b>ἰσχύς</b>, -ύος, ἡ [in LXX chiefly for כֹּחַ, also for חַיִל, עַז, גְּבוּרָה, etc;] <b>strength, might, power, force, ability</b>: Rev.5:12 7:12; ἰ. κ. δύναμις, 2Pe.2:11; τ. κράτος τῆς ἰ. (Isa.40:26), Eph.1:19 6:10; ἡ δόξα τῆς ἰ, 2Th.1:9; ἐξ ἰ, 1Pe.4:11; ἐν ὅλῃ τ. ἰ, Mrk.12:30, 33 " (LXX) Luk.10:27 (LXX). <i>SYN.</i>: δύναμις (which see, and cf. <i>ICC</i>, Php.4:13); κράτος (cf. M, <i>Th.</i>, I, 1:9) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2480		ἰσχύω	ischuō	be strong	G:V	<b>ἰσχύω</b> (ἰσχύς), [in LXX for חָזַק, גִּבּוֹר, עָצַם, etc;] 1) <b>to be strong in body</b>: Mat.9:12, Mrk.2:17. 2) <b>to be powerful, have power, prevail</b>: Act.19:20, Rev.12:8; before κατά, with genitive of person(s), Act.19:16; with inf, <b>to be able </b>(MM, <i>Exp.</i>, xv): Mat.8:28 26:40, Mrk.5:4 9:18 (inf. understood) Mrk.14:37, Luk.6:48 8:43 13:24 14:6, 29-30 16:3 20:26, Jhn.21:6, Act.6:10 15:10 25:7 27:16; with accusative, Php.4:13, Jas.5:16; of things, <b>to avail, be serviceable </b>(MM, <i>Exp.</i>, l.with): Mat.5:13, Gal.5:6, Heb.9:17 (cf. ἐν, ἐξ, ἐπ, κατ-ισχύω). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2481		ἴσως	isōs	perhaps	G:ADV	<b>ἴσως</b> (ἴσσς), <i>adv.</i>, [in LXX for אוּלַי, אַךְ, הֵן, Gen.32:20, Jer.5:4, al;] 1) equally. 2) <b>perhaps</b>: Luk.20:13. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2482		Ἰταλία	Italia	Italy	N:N-F-L	<b>Ἰταλία</b>, -ας, ἡ <b>Italy</b>: ἡ Ἰ. (see B1, § 46, 11), Act.18:2 27:1, 6, Heb.13:14. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2483	a Group member of <a href='/Strongs/strongs-g2482' onclick='return ABMM("/Strongs","/strongs-g2482");'>g2482</a>	Ἰταλικός	Italikos	Italian	N:A--LG	<b>Ἰταλικός</b>, -ή, -όν (Ἰταλία), <b>Italian</b>: σπεῖρα Ἰ, Act.10:1. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2484	the Greek of <a href='/Strongs/strongs-h3195H' onclick='return ABMM("/Strongs","/strongs-h3195H");'>h3195H</a>	Ἰτουραΐα	Itouraia	Ituraea	N:N--L	<b>Ἰτουραῖος</b>, -αία, -αῖον [in LXX: 1Ch.5:19 A (יְטוּר) *;] Ituræan (in cl. always ὁι Ἰ, the Ituræans) χώρα (ἡ Ἰτουραίων ὀρεινή, τὰ τῶν Ἰ. μέρη, Strabo, XVI, ii, 16, 20), Luk.3:1 (cf. <i>Exp.</i> (1894), ix, 51 ff, 143 ff, 288 ff.). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2485		ἰχθύδιον	ichthudion	little fish	G:N-N	<b>ἰχθύδιον</b>, -ου, τό (dimin. of ἰχθύς), <b>a little fish</b>: Mat.15:34, Mrk.8:7. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2486		ἰχθύς	ichthus	fish	G:N-M	<b>ἰχθύς</b>, -ύoς, ὁ [in LXX for דָּג, דָּגָה;] <b>a fish</b>: Mat.7:10, Mrk.6:38, al. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2487		ἴχνος	ichnos	track	G:N-N	<b>ἴχνος</b>, -εος (-ους), τό [in LXX for כַּף, etc;] <b>a track, footstep</b>: metaphorically (as frequently in cl.), στοιχεῖν τοῖς ἴ, Rom.4:12; περιπατεῖν τοῖς ἴ, 2Co.12:18; ἐπακολουθεῖν τοῖς ἴ, 1Pe.2:21 (cf. MM, <i>Exp.</i>, xv). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2488	the Greek of <a href='/Strongs/strongs-h3147H' onclick='return ABMM("/Strongs","/strongs-h3147H");'>h3147H</a>	Ἰωάθαμ	Iōatham	Jotham	N:N-M-P	<b>Ἰωάθαμ</b> (WH, -θάμ), ὁ, indecl. (Heb. יוֹתָם), <b>Jotham, King of Judah</b>: Mat.1:9. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2489		Ἰωάννα, Ἰωανάν	Iōanna, Iōanan	Joanna	N:N-F-P	<b>Ἰωάνα</b> (TR, -ννα; see WH, <i>App.</i>, 159), ης, ἡ (Aram יוֺחַן), <b>Joanna</b>: Luk.8:3 24:10. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2490		Ἰωαννᾶς	Iōannas	Joanan	N:N-M-P	<b>Ἰωανάν</b> (Rec. Ἰωαννᾶς, -ᾶ), ὁ indecl. (Heb. יוֹחָנָן), <b>Joanan </b>(cf. Ἰωάνης): Luk.3:37. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2491G		Ἰωάννης	Iōannēs	John	N:N-M-P	<b>Ἰωάνης</b> (Rec. ννης, which see; cf. Dalman, <i>Gr.</i>, 142; Tdf, <i>Pr.</i>, 79; WH, <i>App.</i>, 159; Bl, §3, 10; 10, 2), <b>-ου</b>, dative, -ῃ (but in Mat.11:4. Luk.7:18, 22 Rev.1:1, ει), accusative, -ην, ὁ (Heb. יוֹחָנָן, LXX: Ἰωανάν, 2Ch.23:1, al; -ννάν, Je 47 (40):8, al, Aq.), Hellenized form of Ἰωανάν, <b>John</b> (I Est.8:38 (41)*), viz, 1) <b>John</b> the Baptist: Mat.3:1, al. 2) <b>John</b> the Apostle, son of Zebedee: Mat.4:21, Mrk.1:19, Luk.5:10, Act.1:13, al. 3) The father of St. Peter: Jhn.1:43 21:15-17. 4) <b>John</b> surnamed Mark: Act.12:12, 25 13:5, 13 15:37. 5) The writer of the Apocalypse, traditionally identified with 2: Rev.1:1, 4 9. <b>Ἰωάννης</b> (D, Ἰωνάθας; see MM, <i>Exp.</i>, XV; Bl, §10, 2), ὁ, <b>John</b>: Act.4:6 13:5, Tr, WH, Rev.22:8 (cf. Ἰωάνης). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2491H		Ἰωάννης	Iōannēs	John	N:N-M-P	<b>Ἰωάνης</b> (Rec. ννης, which see; cf. Dalman, <i>Gr.</i>, 142; Tdf, <i>Pr.</i>, 79; WH, <i>App.</i>, 159; Bl, §3, 10; 10, 2), <b>-ου</b>, dative, -ῃ (but in Mat.11:4. Luk.7:18, 22 Rev.1:1, ει), accusative, -ην, ὁ (Heb. יוֹחָנָן, LXX: Ἰωανάν, 2Ch.23:1, al; -ννάν, Je 47 (40):8, al, Aq.), Hellenized form of Ἰωανάν, <b>John</b> (I Est.8:38 (41)*), viz, 1) <b>John</b> the Baptist: Mat.3:1, al. 2) <b>John</b> the Apostle, son of Zebedee: Mat.4:21, Mrk.1:19, Luk.5:10, Act.1:13, al. 3) The father of St. Peter: Jhn.1:43 21:15-17. 4) <b>John</b> surnamed Mark: Act.12:12, 25 13:5, 13 15:37. 5) The writer of the Apocalypse, traditionally identified with 2: Rev.1:1, 4 9. <b>Ἰωάννης</b> (D, Ἰωνάθας; see MM, <i>Exp.</i>, XV; Bl, §10, 2), ὁ, <b>John</b>: Act.4:6 13:5, Tr, WH, Rev.22:8 (cf. Ἰωάνης). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2491I		Ἰωάννης	Iōannēs	John	N:N-M-P	<b>Ἰωάνης</b> (Rec. ννης, which see; cf. Dalman, <i>Gr.</i>, 142; Tdf, <i>Pr.</i>, 79; WH, <i>App.</i>, 159; Bl, §3, 10; 10, 2), <b>-ου</b>, dative, -ῃ (but in Mat.11:4. Luk.7:18, 22 Rev.1:1, ει), accusative, -ην, ὁ (Heb. יוֹחָנָן, LXX: Ἰωανάν, 2Ch.23:1, al; -ννάν, Je 47 (40):8, al, Aq.), Hellenized form of Ἰωανάν, <b>John</b> (I Est.8:38 (41)*), viz, 1) <b>John</b> the Baptist: Mat.3:1, al. 2) <b>John</b> the Apostle, son of Zebedee: Mat.4:21, Mrk.1:19, Luk.5:10, Act.1:13, al. 3) The father of St. Peter: Jhn.1:43 21:15-17. 4) <b>John</b> surnamed Mark: Act.12:12, 25 13:5, 13 15:37. 5) The writer of the Apocalypse, traditionally identified with 2: Rev.1:1, 4 9. <b>Ἰωάννης</b> (D, Ἰωνάθας; see MM, <i>Exp.</i>, XV; Bl, §10, 2), ὁ, <b>John</b>: Act.4:6 13:5, Tr, WH, Rev.22:8 (cf. Ἰωάνης). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2491J	a Name of <a href='/Strongs/strongs-g3138' onclick='return ABMM("/Strongs","/strongs-g3138");'>g3138</a>	Ἰωάννης	Iōannēs	John	N:N-M-P	<b>Ἰωάνης</b> (Rec. ννης, which see; cf. Dalman, <i>Gr.</i>, 142; Tdf, <i>Pr.</i>, 79; WH, <i>App.</i>, 159; Bl, §3, 10; 10, 2), <b>-ου</b>, dative, -ῃ (but in Mat.11:4. Luk.7:18, 22 Rev.1:1, ει), accusative, -ην, ὁ (Heb. יוֹחָנָן, LXX: Ἰωανάν, 2Ch.23:1, al; -ννάν, Je 47 (40):8, al, Aq.), Hellenized form of Ἰωανάν, <b>John</b> (I Est.8:38 (41)*), viz, 1) <b>John</b> the Baptist: Mat.3:1, al. 2) <b>John</b> the Apostle, son of Zebedee: Mat.4:21, Mrk.1:19, Luk.5:10, Act.1:13, al. 3) The father of St. Peter: Jhn.1:43 21:15-17. 4) <b>John</b> surnamed Mark: Act.12:12, 25 13:5, 13 15:37. 5) The writer of the Apocalypse, traditionally identified with 2: Rev.1:1, 4 9. <b>Ἰωάννης</b> (D, Ἰωνάθας; see MM, <i>Exp.</i>, XV; Bl, §10, 2), ὁ, <b>John</b>: Act.4:6 13:5, Tr, WH, Rev.22:8 (cf. Ἰωάνης). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2491K		Ἰωνᾶς	Iōnas	John	N:N-M-P	<b>Ἰωνᾶς</b>, -ᾶ, ὁ (Heb. יוֹנָה), <b>Jonah, the prophet</b>: Mat.12:39-41 16:4, Luk.11:29-30, 32. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2492	the Greek of <a href='/Strongs/strongs-h347' onclick='return ABMM("/Strongs","/strongs-h347");'>h347</a>	Ἰώβ	Iōb	Job	N:N-M-P	<b>Ἰώβ</b>, ὁ (Heb. אִיּוֹב), <b>Job</b>: Jas.5:11. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2493	the Greek of <a href='/Strongs/strongs-h3100T' onclick='return ABMM("/Strongs","/strongs-h3100T");'>h3100T</a>	Ἰωήλ	Iōēl	Joel	N:N-M-P	<b>Ἰωήλ</b>, ὁ indecl. (Heb. יוֹאֵל,), <b>Joel</b>: Act.2:16. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2494		Ἰωνάν	Iōnan	Jonam	N:N-M-P	<b>Ἰωνάμ</b> (Rec. -άν), <b>Jonam</b>: Luk.3:30. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2495G	a Spelling of <a href='/Strongs/strongs-g2491K' onclick='return ABMM("/Strongs","/strongs-g2491K");'>g2491K</a>	Ἰωνᾶς	Iōnas	John	N:N-M-P	<b>Ἰωνᾶς</b>, -ᾶ, ὁ (Heb. יוֹנָה), <b>Jonah, the prophet</b>: Mat.12:39-41 16:4, Luk.11:29-30, 32. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2495H	the Greek of <a href='/Strongs/strongs-h3124' onclick='return ABMM("/Strongs","/strongs-h3124");'>h3124</a>	Ἰωνᾶς	Iōnas	Jonah	N:N-M-P	<b>Ἰωνᾶς</b>, -ᾶ, ὁ (Heb. יוֹנָה), <b>Jonah, the prophet</b>: Mat.12:39-41 16:4, Luk.11:29-30, 32. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2496	the Greek of <a href='/Strongs/strongs-h3088G' onclick='return ABMM("/Strongs","/strongs-h3088G");'>h3088G</a>	Ἰωράμ	Iōram	Joram	N:N-M-P	<b>Ἰωράμ</b>, ὁ, indecl. (Heb. יוֹרָם), <b>Joram, Jehoram</b>: Mat.1:8. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2497		Ἰωρείμ	Iōreim	Jorim	N:N-M-P	<b>Ἰωρείμ</b>, ὁ indecl, <b>Jorim</b>: Luk.3:29. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2498	the Greek of <a href='/Strongs/strongs-h3092I' onclick='return ABMM("/Strongs","/strongs-h3092I");'>h3092I</a>	Ἰωσαφάτ	Iōsaphat	Jehoshaphat	N:N-M-P	<b>Ἰωσαφάτ</b>, ὁ indecl. (Heb. יְהוֹשָׁפָט), <b>Jehoshaphat</b>: Mat.1:8. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2499	a Name of <a href='/Strongs/strongs-g2424K' onclick='return ABMM("/Strongs","/strongs-g2424K");'>g2424K</a>	Ἰωσή	Iōsē	Jose	N:N-M-P	<b>Ἰωσή</b>, see: Ἰωσῆς - -ῆ (Rec. -ή Luk.3:29; AV, Jose; see: Ἰησοῦς, 3), and -ῆτος (Mk, ll with), ὁ, <b>Joses</b>; 1) <b>brother of our Lord</b>: Mrk.6:3, Mat.13:55 (Rec, see: Ἰωσήφ). 2) <b>Son of Mary</b>: Mat.27:56 (-σήφ), WH, txt), Mrk.15:40, 47 3) see: Βαρνάβας. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2500G		Ἰωσῆς	Iōsēs	Joseph	N:N-M-P	<b>Ἰωσῆς</b>, -ῆ (Rec. -ή Luk.3:29; AV, Jose; see: Ἰησοῦς, 3), and -ῆτος (Mk, ll with), ὁ, <b>Joses</b>; 1) <b>brother of our Lord</b>: Mrk.6:3, Mat.13:55 (Rec, see: Ἰωσήφ). 2) <b>Son of Mary</b>: Mat.27:56 (-σήφ), WH, txt), Mrk.15:40, 47 3) see: Βαρνάβας. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2500H	a Name of <a href='/Strongs/strongs-g2501H' onclick='return ABMM("/Strongs","/strongs-g2501H");'>g2501H</a>	Ἰωσῆς	Iōsēs	Joses	N:N-M-P	<b>Ἰωσῆς</b>, -ῆ (Rec. -ή Luk.3:29; AV, Jose; see: Ἰησοῦς, 3), and -ῆτος (Mk, ll with), ὁ, <b>Joses</b>; 1) <b>brother of our Lord</b>: Mrk.6:3, Mat.13:55 (Rec, see: Ἰωσήφ). 2) <b>Son of Mary</b>: Mat.27:56 (-σήφ), WH, txt), Mrk.15:40, 47 3) see: Βαρνάβας. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2500I	a Name of <a href='/Strongs/strongs-g921G' onclick='return ABMM("/Strongs","/strongs-g921G");'>g921G</a>	Ἰωσῆς	Iōsēs	Joseph	N:N-M-P	<b>Ἰωσῆς</b>, -ῆ (Rec. -ή Luk.3:29; AV, Jose; see: Ἰησοῦς, 3), and -ῆτος (Mk, ll with), ὁ, <b>Joses</b>; 1) <b>brother of our Lord</b>: Mrk.6:3, Mat.13:55 (Rec, see: Ἰωσήφ). 2) <b>Son of Mary</b>: Mat.27:56 (-σήφ), WH, txt), Mrk.15:40, 47 3) see: Βαρνάβας. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501G		Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501H		Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501I		Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501J		Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501K		Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501L		Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501M		Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501N	the Greek of <a href='/Strongs/strongs-h3130G' onclick='return ABMM("/Strongs","/strongs-h3130G");'>h3130G</a>	Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσήφ </b> indecl. (FlJ, Ἰώσηπος, -ου), ὁ (Heb. יוֹסֵף), <b>Joseph</b>; 1) <b>the Son of Jacob</b>: Jhn.4:5, Act.7:9, 13-14 7:18, Heb.11:21-22, Rev.7:8. 2) In the genealogy of our Lord, (a) <b>the son of Matthias</b>: Luk.3:24; (b) <b>the son Joram</b>: Luk.3:30. 3) The husband of Mary, the Lord's mother Mat.1:16 ff, Luk.1:27, Jhn.1:46, al. 4) <b>One of the brethren of our Lord </b>(see: ἀδελφός): Mat.13:55. 5) <b>Son of Mary</b>: Mat.27:56 (-σῆς, WH, mg, RV). 6) <b>Joseph of Arimatbæa</b>: Mat.27:57, 59, Mrk.15:43, 45, Luk.23:50, Jhn.19:38. 7) see: Βαρνάβας. 8) see: Βαρσαβᾶς (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2501O	a Name of <a href='/Strongs/strongs-g921G' onclick='return ABMM("/Strongs","/strongs-g921G");'>g921G</a>	Ἰωσήφ	Iōsēph	Joseph	N:N-M-P	<b>Ἰωσῆς</b>, -ῆ (Rec. -ή Luk.3:29; AV, Jose; see: Ἰησοῦς, 3), and -ῆτος (Mk, ll with), ὁ, <b>Joses</b>; 1) <b>brother of our Lord</b>: Mrk.6:3, Mat.13:55 (Rec, see: Ἰωσήφ). 2) <b>Son of Mary</b>: Mat.27:56 (-σήφ), WH, txt), Mrk.15:40, 47 3) see: Βαρνάβας. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2502	the Greek of <a href='/Strongs/strongs-h2977G' onclick='return ABMM("/Strongs","/strongs-h2977G");'>h2977G</a>	Ἰωσίας	Iōsias	Josiah	N:N-M-P	<b>Ἰωσείας</b> (-σίας, Rec.), -ου, ὁ (Heb. יֹאשִׁיָּה), <b>Josiah</b>: Mat.1:10-11 (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2503		ἰῶτα	iōta	iota	G:N-N	<b>ἰῶτα</b>, τό, <b>iota </b>(Heb. י, i.e. the smallest letter): Mat.5:18. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
